Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
250004   | Geoff Edwards                   | 0116147    | actor, archive_footage, soundtrack             
251705   | Åsmund Brede Eike               | 6076172    | actor, script_department, writer               
253126   | Kevin Eldon                     | 0425112    | actor, script_department, writer               
254387   | Bob Elliott                     | 0100449    | actor, soundtrack, writer                      
254402   | Chris Elliott                   | 0107048    | actor, producer, writer                        
255281   | Daniel Ellsberg                 | 1319726    | actor, archive_footage, writer                 
256529   | Chris Emmett                    | 0127369    | actor, soundtrack, writer                      
258012   | Nick Enright                    | 0118735    | actor, producer, writer                        
258321   | Gary Epp                        | 0158622    | actor, archive_footage                         
263582   | Erik Everhard                   | 3983340    | actor, director, producer                      
273253   | Alberto Fernández de Rosa       | 2171665    | actor, archive_footage, soundtrack             
278442   | Alejandro Fiore                 | 1568978    | actor, producer, writer                        
282547   | Gerald Flood                    | 0066206    | actor, archive_footage                         
283747   | Frank Focketyn                  | 0490714    | actor                                          
287562   | Wayne Foskett                   | 0944947    | actor                                          
290475   | Don Francks                     | 0082509    | actor, music_department, writer                
301925   | Vincent Gale                    | 0408345    | actor, archive_footage, soundtrack             
303853   | Juan Pablo Gamboa               | 0211878    | actor, producer, writer                        
305894   | Leonardo García Vale            | 0883625    | actor, writer                                  
318027   | Ed Gilbert                      | 0092106    | actor, archive_footage, soundtrack             
318703   | Michel Gill                     | 4158110    | actor                                          
323851   | Willoughby Goddard              | 0086746    | actor                                          
324009   | Patrick Godfrey                 | 0245844    | actor, miscellaneous, soundtrack               
326091   | Jonathan Goldsmith              | 6911608    | actor, archive_footage                         
329848   | Mariusz Gorczynski              | 0087542    | actor                                          
332562   | Alain Goulem                    | 1411254    | actor, director, miscellaneous                 
340264   | Rainer Grenkowitz               | 0144061    | actor                                          
344043   | Stanley Grover                  | 0087332    | actor                                          
346260   | Sergio Guerrero                 | 0211878    | actor                                          
346270   | Álvaro Guerrero                 | 0245712    | actor                                          
348888   | Aleksey Guskov                  | 1093383    | actor, producer                                
352313   | Miguel Habud                    | 0189504    | actor, archive_footage                         
353588   | Merle Haggard                   | 0120885    | actor, music_artist, music_department          
358772   | Roger Hammond                   | 1504320    | actor, archive_footage                         
368561   | Bob Hastings                    | 0069113    | actor, archive_footage, soundtrack             
368610   | Nigel Hastings                  | 0109831    | actor, producer, script_department             
373668   | Alexander Hegarth               | 0061305    | actor, archive_footage                         
379084   | Klaus Herm                      | 0108916    | actor                                          
386810   | Ian Hislop                      | 0108796    | actor, soundtrack, writer                      
390161   | Arthur Holden                   | 0365929    | actor, script_department, writer               
393222   | James Hong                      | 6710474    | actor, producer, writer                        
395443   | John Horsley                    | 0073990    | actor, archive_footage                         
395950   | Sôichirô Hoshi                  | 1263228    | actor, archive_footage, soundtrack             
396406   | Adrian Hough                    | 6053512    | actor, archive_footage                         
401370   | Pablo Huley                     | 0221726    | actor                                          
408846   | Lee Ingleby                     | 0304141    | actor, writer                                  
409287   | Kazuhiko Inoue                  | 0409591    | actor, sound_department, soundtrack            
412336   | George Ives                     | 0138524    | actor                                          
413263   | Andrew Jackson                  | 12327578   | actor, casting_director, writer                
417712   | Mihailo 'Misa' Janketic         | 0090524    | actor, archive_footage                         
418959   | Paul Jarrett                    | 1325004    | actor, casting_department, special_effects     
419248   | David Jason                     | 0081912    | actor, producer, writer                        
419650   | Jay-Z                           | 10696784   | actor, music_artist, producer                  
419785   | Michael Jayston                 | 0067483    | actor, archive_footage, soundtrack             
424527   | Arte Johnson                    | 0062601    | actor, soundtrack, writer                      
427379   | Kristoffer Joner                | 3616916    | actor, director, producer                      
429115   | Rick Jones                      | 0118617    | actor, miscellaneous, writer                   
431262   | Dubravko Jovanovic              | 0844286    | actor                                          
433738   | Niels Jørgensen                 | 10288566   | actor                                          
436778   | Hiroshi Kamiya                  | 1480925    | actor, miscellaneous, music_department         
446672   | Michael Kelly                   | 1706593    | actor, producer, soundtrack                    
458971   | Sebastian Klein                 | 0806910    | actor, music_department, writer                
464674   | Kiyoshi Komiyama                | 0060038    | actor, archive_sound                           
467437   | Mihajlo Kostic-Pljaka           | 0179941    | actor                                          
468865   | Zdzislaw Kozien                 | 0075226    | actor                                          
469475   | Chris Kramer                    | 0380869    | actor, director, producer                      
476889   | Daniel Kuzniecka                | 0124312    | actor, producer, writer                        
482936   | Dave Lamb                       | 0227890    | actor, miscellaneous, writer                   
485183   | Dieter Landuris                 | 10536638   | actor, soundtrack                              
486413   | Chris Langham                   | 0459159    | actor, producer, writer                        
489292   | Ulf Larsson                     | 0101249    | actor, director, writer                        
491551   | Zarko Lausevic                  | 3168940    | actor, archive_footage                         
493200   | Denis Lawson                    | 0076759    | actor, director, writer                        
496378   | Philippe Lecuyer                | 0109377    | actor, production_manager                      
504489   | Loren Lester                    | 0264235    | actor, director, writer                        
507691   | Robert Q. Lewis                 | 0068555    | actor, archive_footage, soundtrack             
519933   | Nuno Lopes                      | 4895668    | actor, archive_footage                         
526103   | Gianni Lunadei                  | 0271718    | actor, archive_footage                         
528433   | Richard Lynch                   | 0373883    | actor, archive_footage, producer               
537854   | Fred Maire                      | 1492219    | actor, archive_footage, miscellaneous          
539687   | Sasa Malinic                    | 0090524    | actor                                          
542603   | Stephen Manley                  | 0088170    | actor                                          
542652   | Art Mann                        | 0449452    | actor, producer, writer                        
550462   | Roy Marsden                     | 0077078    | actor, archive_footage                         
551502   | K.C. Martel                     | 0083866    | actor, archive_footage, soundtrack             
553436   | A Martinez                      | 1836037    | actor, producer, writer                        
559193   | Andy Maton                      | 0250687    | actor                                          
561841   | Mark Maxwell-Smith              | 0198071    | actor, producer, writer                        
565907   | Leigh McCloskey                 | 0080923    | actor, producer, writer                        
566331   | Rhys McConnochie                | 0056751    | actor                                          
579914   | Scott Menville                  | 0343314    | actor, miscellaneous, sound_department         
581536   | Thorsten Merten                 | 0304126    | actor, writer                                  
581751   | Edgardo Mesa                    | 0303536    | actor                                          
581762   | Juan Carlos Mesa                | 0193784    | actor, producer, writer                        
583701   | Dirk Meynendonckx               | 0162076    | actor, casting_director, director              
586528   | Shin'ichirô Miki                | 0156887    | actor, music_department, soundtrack            
596959   | Richard Moll                    | 0179116    | actor, archive_footage, soundtrack             
599649   | Eugenio Montessoro              | 7312128    | actor                                          
606043   | Sechaba Morojele                | 0316826    | actor, director, writer                        
612818   | Rob Mungle                      | 0115263    | actor, writer                                  
614877   | Chad Michael Murray             | 0368530    | actor, director, producer                      
617921   | Jörgen Mörnbäck                 | 24655348   | actor                                          
625899   | Scott Nemes                     | 0090459    | actor, miscellaneous, producer                 
628606   | Todd Newton                     | 1742341    | actor, archive_footage                         
634323   | Matt Nolan                      | 1024648    | actor, miscellaneous, producer                 
640734   | Charlie O'Donnell               | 0109480    | actor, archive_footage, miscellaneous          
645636   | Ryôtarô Okiayu                  | 0247514    | actor, archive_footage, soundtrack             
645806   | Aleksander Okunev               | 0300140    | actor                                          
647434   | Boy Olmi                        | 1313256    | actor, archive_footage, director               
653626   | Mads Ousdal                     | 1528769    | actor                                          
666547   | Chris Patton                    | 0421357    | actor, director, sound_department              
668271   | Bruce Payne                     | 0105104    | actor, producer, writer                        
673391   | Diego Peretti                   | 0316613    | actor, director, writer                        
673897   | Carl Perkins                    | 1440129    | actor, composer, music_department              
