Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
2815503  | George Sauma                    | 8591986    | actor, soundtrack                              
2844388  | Keiran Lee                      | 4863792    | actor, director, producer                      
2858333  | Justin Doescher                 | 4921338    | actor, producer, stunts                        
2904398  | German Regalado                 | 0078052    | actor                                          
2969210  | David Wald                      | 2560140    | actor, miscellaneous, writer                   
2976444  | Tomasz Knapik                   | 1499230    | actor                                          
2988465  | Francisco Angelini              | 1687984    | actor                                          
3025446  | Brendan Rien                    | 1590825    | actor                                          
3108867  | Michael Ihnow                   | 5678308    | actor, miscellaneous                           
3148346  | Armando Torrea                  | 2265690    | actor                                          
3220973  | Jaime Alguersuari               | 6758316    | actor                                          
3271473  | Austin Stowell                  | 3682448    | actor, producer, soundtrack                    
3323035  | Mikhail Grushevskiy             | 4419390    | actor                                          
3328412  | Oisín Stack                     | 2404311    | actor, assistant_director                      
3454470  | Sergey Pioro                    | 0176207    | actor, production_manager                      
3544802  | Maximilian Allgeier             | 15852584   | actor, director, writer                        
3631553  | Bill Bailey                     | 1733291    | actor, archive_footage                         
3651589  | Simen E. Waksvik                | 1398033    | actor                                          
3821405  | Jake Lacy                       | 2402927    | actor, archive_footage, producer               
3856456  | Rocco Nacino                    | 1961180    | actor, soundtrack                              
3866538  | Aron Lehmann                    | 7776838    | actor, director, writer                        
3907729  | Stepan Devonin                  | 8845840    | actor, writer                                  
3944581  | Helmut Marko                    | 6758316    | actor, archive_footage                         
4013413  | Joey Richter                    | 4459758    | actor, sound_department, writer                
4095201  | Roberto Prieto                  | 2367785    | actor                                          
4117720  | Tomás Sala                      | 4311498    | actor, assistant_director, writer              
4166234  | Danny McGinlay                  | 2332096    | actor, director, miscellaneous                 
4204713  | Mark Alazraki                   | 8498114    | actor, producer, writer                        
4334345  | Scott Stoked                    | 2508460    | actor, sound_department                        
4377217  | Shaun Blaney                    | 4577468    | actor, camera_department, writer               
4582537  | Erik Scott Kimerer              | 2425098    | actor, miscellaneous, sound_department         
4629612  | Jean-Paul Bevilacqua            | 1606854    | actor                                          
4647943  | Mikhail Pshenichnyy             | 11204154   | actor                                          
4695420  | Ole Martin Aune Nilsen          | 0905372    | actor                                          
4727722  | Juri Winkler                    | 1679276    | actor                                          
4739645  | Masayuki Akasaka                | 6795336    | actor, manager                                 
4889703  | Frans Limburg                   | 0784920    | actor, miscellaneous                           
4934471  | Piotr Witkowski                 | 10131762   | actor, soundtrack, writer                      
4968004  | Adrián Barraza                  | 0247851    | actor                                          
4982783  | Van Jones                       | 6286152    | actor, producer, writer                        
5018955  | Eric Rodas                      | 9577654    | actor                                          
5222799  | Sjoerd Oomen                    | 0784920    | actor                                          
5401586  | Seth Hendrickson                | 2853120    | actor, director, writer                        
5492282  | Zachary Ruane                   | 5034742    | actor, producer, writer                        
5492696  | Mark Samual Bonanno             | 13316746   | actor, producer, writer                        
5545287  | Ruru Madrid                     | 5861134    | actor, soundtrack                              
5665787  | Dan Lloyd                       | 6058886    | actor, animation_department, director          
5665843  | Wicked Shrapnel                 | 2903210    | actor                                          
5666084  | Jason Sargeant                  | 6058886    | actor, animation_department, writer            
5701200  | Sílvio Matos                    | 12917634   | actor, director, writer                        
5750227  | Bruno Ahmed                     | 3914116    | actor                                          
5818461  | Kingsley Anowi                  | 28455574   | actor                                          
5991573  | Leonardo Lima Carvalho          | 0995868    | actor                                          
6037256  | Aaron Hilmer                    | 1016150    | actor                                          
6055366  | Denis Kukoyaka                  | 4567186    | actor, soundtrack                              
6072896  | Broden Kelly                    | 13316746   | actor, producer, writer                        
6094267  | Bertie Gilbert                  | 6199068    | actor                                          
6100047  | Vikash Bhai                     | 9138170    | actor, soundtrack                              
6507213  | Ty Phoenix Simpson              | 12817524   | actor, producer, writer                        
6629365  | Aldo Escalante Ochoa            | 14961160   | actor, producer                                
6671482  | Alex Bhat                       | 11656892   | actor                                          
6709511  | Siennah Buck                    | 3804114    | actor                                          
6791174  | Codey Atiyeh                    | 4840214    | actor, stunts, transportation_department       
6836912  | Evgeniy Aleksandrov             | 0435978    | actor                                          
6873940  | Julian Swiezewski               | 3893044    | actor                                          
7124125  | Daiki Hamano                    | 15776622   | actor, soundtrack                              
7142794  | Josh Rhett Noble                | 12682076   | actor, director, producer                      
7159778  | Heinz K. Krattiger              | 28098926   | actor                                          
7193193  | Mariusz Weglowski               | 11954606   | actor                                          
7275197  | Donnell E. Smith                | 3513178    | actor                                          
7490325  | Shunichi Toki                   | 12555040   | actor, music_department, soundtrack            
7523501  | Shunsuke Takeuchi               | 10233448   | actor, soundtrack                              
7550362  | Joaquín Ferreira                | 4680240    | actor                                          
7550363  | Said Sandoval                   | 4680240    | actor                                          
7559933  | Francisco Alanís Sopitas        | 4680240    | actor                                          
7798190  | Aaron Gocs                      | 8042512    | actor, writer                                  
8087970  | Noah Leggott                    | 17921714   | actor, miscellaneous                           
8175918  | Thomas Hayes                    | 5288312    | actor, archive_footage                         
8306681  | Mikhail Kremer                  | 13144490   | actor, cinematographer                         
9097681  | Otto Nobela                     | 9426290    | actor                                          
9387920  | Otto Henriksson                 | 15589688   | actor                                          
9472721  | Rafal Majewski                  | 8176532    | actor                                          
9985811  | Marcus Bessa                    | 7216954    | actor                                          
10018495 | Loyiso Madinga                  | 28532135   | actor, writer                                  
10358573 | Henry Rodriguez                 | 0426742    | actor                                          
10419411 | Aleksandr Shuliko               | 4567186    | actor, soundtrack                              
10532126 | Khathu Ramabulana               | 9426290    | actor                                          
11186166 | Hong Nae Lee                    | 14839424   | actor                                          
11280043 | Gage Kimbrell                   | 11597332   | actor                                          
11401508 | Krzysztof Lukowicz              | 13607832   | actor                                          
11491384 | Maciej Kosiacki                 | 19724192   | actor                                          
11697691 | Damian Rabstain                 | 13415620   | actor                                          
11956687 | Zakiy Jogi                      | 15156212   | actor                                          
12044557 | Marcin Zawadzki                 | 13415620   | actor                                          
12044708 | Marcin Skiba                    | 13415620   | actor                                          
12064054 | Stefaniya Maryana Gurskaya      | 4793578    | actor                                          
12213064 | Miika Pihlak                    | 11317634   | actor                                          
12213066 | Artemi Sotskov                  | 13800178   | actor                                          
12213067 | Vadim Tronov                    | 13800178   | actor                                          
12307165 | Baek Sung-Chul                  | 14731794   | actor                                          
12340880 | Ilya Sintsov                    | 26422125   | actor                                          
12416940 | Thiago Braga de Oliveira        | 15852584   | actor                                          
12699881 | Oleg Milyakhovskiy              | 22072954   | actor                                          
13138688 | Denis Kotov                     | 13144490   | actor, composer                                
13305489 | Kristian Eros                   | 11261148   | actor                                          
13552036 | Dennis Smith                    | 19392272   | actor, director, writer                        
13880591 | Bayastan Koldoshaly             | 32203240   | actor                                          
14490628 | Bartlomiej Deklewa              | 26423839   | actor                                          
14829616 | Jan Salasinski                  | 27688981   | actor                                          

